Carex_donnellsmithii||NCBI_Ton_3535	5
Carex_drucei||spm00004418	44
Carex_drymophila|JAP|NCBI_Waterway_3672	35
Carex_durieui|SPA|spm00004386	26
Carex_duriuscula|ASK|spm00001653	30
Carex_ebenea|ARI|spm00001870	42
Carex_eburnea|MIC|spm00000842	27
Carex_echinata_ssp_echinata|ASK|spm00001633	29
Carex_echinochloe_ssp_echinohloe|KEN|spm00000186	21
Carex_echinodes|WIS|spm00002699	38
Carex_ecklonii|CPP|spm00004378	32
Carex_edura|NZS|spm00002184	44
Carex_edwardsiana|TEX|spm00002142	26
Carex_egmontiana||spm00004416	44
Carex_elata_ssp_elata|SPA|spm00003134	38
Carex_eleusinoides|ASK|spm00001623	42
Carex_elingamita|NZ|NCBI_AUTHOR_Gardner_320	30
Carex_elongata|RUC|spm00005949	28
Carex_emoryi|DEL|spm00000885	36
Carex_enervis||NCBI_Ho_2089	22
Carex_ensifolia|CHQ|spm00005713	40
Carex_erebus||spm00004424	44
Carex_ericetorum|ITA|spm00000551	15
Carex_erythrovaginata|NZ|spm00005096	44
Carex_esenbeckii|EHM|spm00005193	33
Carex_exilis|DEL|spm00000887	31
Carex_extensa|VRG|spm00001853	30
Carex_falcata|CHC|spm00005715	24
Carex_fedia|PAK|spm00005718	47
Carex_ferruginea|SWI|spm00000531	29
Carex_festucacea|TEX|spm00000892	35
Carex_feta|CAL|spm00000893	33
Carex_filicina|VIE|spm00007873	23
Carex_filifolia_var_filifolia|CAL|spm00001432	25
Carex_filipes|JAP|NCBI_Waterway_3666	21
Carex_fimbriata|SWI|spm00000552	19
Carex_firma|ITA|spm00000520	17
Carex_fischeri_ssp_fischeri|ETH|spm00004352	35
Carex_fissirostris|MOR|spm00004379	36
Carex_flacca_ssp_erythrostachys|BAL|spm00000524	40
Carex_flacca_ssp_flacca|GRB|NCBI_Hill_1959	19
Carex_flaccosperma|LOU|spm00000671	23
Carex_flagellifera|NZ|NCBI_AUTHOR_Gardner_283	29
Carex_flava|NFL|spm00001483	30
Carex_flaviformis|NZ|spm00007227	32
Carex_foenea|BRC|spm00002000	41
Carex_foetida|SWI|spm00000565	29
Carex_foliosissima|JAP|NCBI_Waterway_3660	15
Carex_folliculata|DEL|spm00000911	28
Carex_forficula|KOR|NCBI_Na_2984	27
Carex_formosa|ILL|spm00001732	26
Carex_forsteri|NZS|spm00002183	30
Carex_fracta|CAL|spm00000896	35
Carex_frankii|ALA|spm00000939	40
Carex_fretalis|NZ|NCBI_AUTHOR_Gardner_326	31
Carex_frigida|SPA|spm00000521	28
Carex_fritschii|HUN|spm00002174	15
Carex_fuliginosa_ssp_misandra|ASK|spm00001627	20
Carex_fulvorubescens|JAP|spm00006431	16
Carex_furva|SPA|spm00006018	30
Carex_fuscula|CLC|spm00004370	33
Carex_fusiformis|EHM|spm00005727	22
Carex_garberi|ASK|spm00001624	26
Carex_gaudichaudiana||NCBI_Ford_1659	36
Carex_gholsonii|ALA|spm00000953	18
Carex_gibba|CHH|spm00005244	17
Carex_gifuensis|KOR|spm00000331	21
Carex_glacialis|NFL|spm00001488	17
Carex_glareosa_ssp_glareosa|MAN|spm00001756	33
Carex_glaucodea|INI|spm00001525	22
Carex_glomerabilis|CPP|spm00000194	30
Carex_glossostigma|CHS|spm00007875	12
Carex_gmelinii|ASK|spm00001629	30
Carex_godfreyi|ALA|spm00001787	25
Carex_gracilenta|CHC|spm00005733	26
Carex_gracilescens|KTY|spm00000927	20
Carex_gracilior|CAL|spm00001692	42
Carex_gracillima|ALA|spm00000922	26
Carex_grallatoria_ssp_grallatoria|JAP|spm00006651	9
Carex_grallatoria_ssp_heteroclita|JAP|spm00006653	11
Carex_grandiligulata|CHS|spm00000056	6
Carex_granularis|MAN|spm00001407	20
Carex_gravida|TEN|spm00000970	24
Carex_grayi|TEN|spm00000924	26
Carex_grioletii|SPA|spm00000585	24
Carex_grisea|KTY|spm00000656	28
Carex_gynandra|DEL|spm00000964	34
Carex_gynocrates|ASK|spm00001630	24
Carex_gynodynama|CAL|spm00001688	25
Carex_halleriana|SPA|spm00000557	25
Carex_hallii|MAN|spm00001754	27
Carex_hamlinii|NZS|NCBI_AUTHOR_Gardner_333	44
Carex_harfordii|CAL|spm00000965	40
Carex_hartmanii|GER|spm00008007	26
Carex_haydeniana|UTA|spm00002432	41
Carex_haydenii|WIS|spm00002433	27
Carex_healyi|NZN|spm00005107	44
Carex_hebecarpa|EHM|spm00005738	27
Carex_hectorii|NZ|NCBI_AUTHOR_Gardner_284	33
Carex_heleonastes|ABT|spm00001954	28
Carex_helodes|POR|NCBI_Jose_2346	36
Carex_heterolepis|KOR|NCBI_Jung_2360	40
Carex_hirsutella|DEL|spm00000935	26
Carex_hirta|PEN|spm00000947	56
Carex_hirtifolia|QUE|spm00001475	25
Carex_hirtissima|CAL|spm00001694	35
